c1,c2
v,"Here's the essence of a clock, in only a few components: https://www.youtube.com/watch?v=KGPjPKZ8sjU"
v,"(REPLY) >>542937

why you're using regular papper? I'm always using bristol papper."
x,I don't want this thread to die.
v,"(REPLY) >>539494
>misclick to /po/ instead of /pol/
>see this thread
WHAT IN TARNATION?! Holy crap I'm really impressed."
v,"(REPLY) >>560365
>>misclick to /po/ instead of /pol/"
x,"(REPLY) >>560379
I'm rather enjoying my stay, I'd prefer not to see these currently."
x,"(REPLY) >>560379
>>560382
but that did make me chuckle so props to you"
v,"(REPLY) >>539494
mfw it works"
v,"This is really cool, definitely going to attempt it.

>this thread is two years old"
v,"Just doing this right now, and Iâ€™m wondering - in the diagram for the 20 tooth gear, it appears that the gear front and back go through the outline of the teeth. Do I need to cut a flap for that, or do I just assemble it like the other gears?"
v,"(REPLY) >>563254
""Go through""? C6 has extra bits that you fold over onto the teeth on each side. But that gear is constructed kind of strangely."
x,"(REPLY) >>550933
Did you ever have any success with this anon?"
v,Koakuma kunny
v,"(REPLY) >>562717
It does look cool, but looks way too complex for me. I've barely done any papercraft to begin with."
x,hey!
x,"(REPLY) >>539494
this is cool."
x,"(REPLY) >>539494
bump because I don't want to lose this"
v,"(REPLY) >>563382
im so tired, the pendulu, is very difficult, and yeap...like 3 years and i cant finish"
x,"(REPLY) >>566406
Hang in there anon. I believe in you."
x,Hope you can complete it one day! Somebody has to archive this thread ...
v,"(REPLY) >>566406
Damn, I wanted to build it. When I read your replies, now it seems impossible."
x,bump
x,"(REPLY) >>566406
YOU CAN DO IT OP
GANBATE"
x,"(REPLY) >>566406
Do it lad; by the power of wishing energy, I believe in you"
x,"Ihr habt den Weg vom Wurme zum Menschen gemacht, und Vieles ist in euch noch Wurm. Einst wart ihr Affen, und auch jetzt ist der Mensch mehr Affe, als irgend ein Affe."
x,"(REPLY) >>566406
Ganbare kiddo."
x,"(REPLY) >>566409
https://www.nicovideo.jp/watch/sm33364056"
x,"(REPLY) >>566406
Come on anon, don't give up"
x,"(REPLY) >>566406
Please dont give up after all this time...
I'm rooting for you anon!"
x,"(REPLY) >>563503
Back to r9k"
v,H-03 are small parts for connecting the pieces of the large gears
v,"here's my test build. not using eyelets for this, also did some changes to templates to simplify the work. not working steadily yet, only for a couple of minutes. will introduce a few more tweaks soon"
v,"(REPLY) >>572027
Holy fuck, you actually did. Good job anon! What sort of changes did you do to the templates?"
v,"(REPLY) >>572028
I've changed several curved lines in templates to straight lines, where it doesn't influence the function. It's easier to cut and glue straight lines, obviously. Also, look at the teeth of the gears. They have new flaps design, so the flaps are bigger and easier to glue. This cuts time on glueing gears significantly"
v,"(REPLY) >>572027
It looks like the gears only have one half of the teeth covered, on alternating sides?"
v,"(REPLY) >>572054
yes, this was necessary to allow larger flaps. the original flaps design was a PITA to cut and glue. Larger tabs can be glued to the front, much faster and easier. To have a clean look you just need a second layer of them on the front side (didn't do it here, as this was an experimental build)."
x,This thread is too low. Bumping cause I don't want to lose it. Will start making it soon.
v,"(REPLY) >>573355
Please don't bump threads too quickly on /po/. It takes around 2 months for a thread to drop to page 10 here. The last post (>>572593) was barely a month old."
v,"(REPLY) >>573407
You're right. The problem is that I can't come here often and this is already on page 8. I really don't want this thread to die, I'm really sorry."
v,"wtf, why the fuck is /po/ so god damn fast! in only a single week this shit thread reached the 7th page, instead of the usual 60 days, holy mother of shiet!!!"
v,"(REPLY) >>575008
Page 7 is practically the front page on /po/ standards compared to the other boards."
x,"(REPLY) >>575008
>>575008
more like 3 weeks sinces the post before yours is 22 days old."
x,"(REPLY) >>539494
So, OP, any updates?

I hope this>>575846
is not you"
v,but why do all this when you can wear a digital watch on your wrist?
v,Has anyone made one of the cardboard clocks before? This is my third time buying it because I messed up the first two. How do you keep the cardboard layers from warping? Should I not use white glue?
v,"(REPLY) >>577880
I tried the Wrebbit kit like 25 years ago; if it's still the same, the way I did it was to glue everything in the gear together *except* the hub in the middle, and then put the almost-complete gear under a couple of books to keep everything nice while drying. The frames are less critical to keep straight; really, it's the escapement that's the thing that's the most critical to get right."
v,"(REPLY) >>578027
its worth a try. I bought this 3 years ago and havent built it yet but the box is the same as the one I got in 1999 so it hasnt changed.
I just want to make a neat clock without the gears warping to hell"
x,Any updates OP?
x,"(REPLY) >>578063
Hello from 2020.
OP might even be dead at this point who knows"
x,"(REPLY) >>539494
cool"
v,"(REPLY) >>545952
>It's like all of my fucking phobias and fears go not just to generational loss of pirated media, but all the way down to the accuracy of a second and the speed of light. Anon, my life was going great. You have put me in a solipsistic tail spin that will be haunting me for the next 30 to 70 years. What you have told me, is that I can't even trust the fundamental mechanics of time keeping."
v,"(REPLY) >>583141
Aw, no need for solipsism. Instead, consider that the fundamental basis of something might be subtle and easily overlooked in favor of its more flashy parts. (And that it took 150 years from the first scientific examination of pendulums to develop a stable clock to become useful for navigation.) What's really important is sometimes not obvious at all, and can be a long time in coming."
v,4 years huh? Don't bury this yet. I am still planning on building this one day. When I have time.
v,"(REPLY) >>584455
This board is as fast as my dreams too"
x,"Je viens de la terminer, un vrai plaisir Ã  faire et en plus elle fonctionne"
x,"(REPLY) >>539494
Is OP still alive? Also, this thread is almost 5 years old. Who would have thought."
v,"(REPLY) >>591864
 I am the one who ask for the kit at the beginning, such a long time since i ask for it. i didnt make it though, life busy and hard for me. But seem you guys really making progress, great to see that, lets keep this for another 5 years :D"
v,I want to build this in the summer
v,The Historical preservation committee has inducted this into the archives for future generations to enjoy.
v,"(REPLY) >>542853
is that a bionicle toy?"
v,"(REPLY) >>594869
Nah not really.
Only problem is that content stops flowing on the threads so it kinda dies but doesn't die in the system.
Just make new threads."
x,(REPLY) >>566406
v,"It take months for a thread to end here, threads die in 15 minutes on pol."
v,"(REPLY) >>592777
Sadly I do not have time to build it this summer. Maybe next year"
v,"(REPLY) >>539494
I hope OP still has his clock"
v,"hey everyone i really hate adding to the post count on such a historic thread but i edited the pdf to be printed on standard letter sized paper without having to scale the source (because it was sized for a4 paper which is very uncommon in north america)
have fun i plan to start this project soon. i'll make a new thread with my progress some day."
v,"(REPLY) >>596889
Good luck to you anon, by the way do you have the a4 version of this project?"
x,"(REPLY) >>596942
see >>539497
>>539498"
x,"(REPLY) >>597047
i guess i'm blind, thanks"
v,"(REPLY) >>566406
please OP i believe in you, I saw this thread 5 years ago and I'll be here for 5 more, I hope you can finish this"
x,"(REPLY) >>566406
anon don't give up"
x,"(REPLY) >>539494
You can do it OP"
v,"(REPLY) >>539494
The other paper craft thread fucking died damn"
x,"(REPLY) >>566406
never give up fren"
v,Op Still building it?
v,Is that thread about cracking some design software still up on /ic/?
x,We all believe in you
x,"(REPLY) >>599603
this"
x,"(REPLY) >>566406
Life is long. The longest thing you'll ever do."
v,"(REPLY) >>566406
>im so tired, the pendulu, is very difficult, and yeap...like 3 years and i cant finish
It's never too late anon

Your fortune: Feliz Navidad!"
v,"(REPLY) >>566406
And it's been three more years again, including two of the most agonizing and isolating ones ever, even for us. 
I was in high school when you started this thread. I didn't even know about the infamous hacker then. You're thread is a nostalgia trip by itself.
I hope you're still working on your pendulum clock, /po/anon. I check in once in a while just to see how you're doing."
v,"(REPLY) >>539494
To put this in perspective, this thread was posted 2,070 days ago. A child could've been born on May 17, 2016 and entered kindergarten just 4 months ago. 5 birthdays, 3 presidents, 2 decades, 3 PMs. Oregon votes to nominate Trump as the Republican candidate, who seems to have a one in a million chance of winning. 69 people are killed and 230 are injured in a series of bombings in Baghdad. And a man on 4chan decides to post about help for a clock pendulum thing."
v,I dont know why this OP is still alive. LMAO. is someone really making that clock? or we all just wait for some god come and save us all :D :D :D
v,I hope OP survived the pandemic
v,"No offence intended, but why is /po/ still its own board? This thread is so old, it has seen 3 different Presidents. And it's not like it was forcefully bumped or anything.
There are less than 10 posts made each day. The board itself has seen just 60,000 posts in the last 5 years, based on OP's post number. In comparison, a high traffic board like /tv/ or /vg/ probably sees 60,000 posts each week.

Unless I'm very much mistaken, /po/ is the least active board of the entire site by a considerable margin. Even /p/ is considerably more active, and that's a ghost town due to it being gatekeeped by gearfags who don't consider you a real photographer unless you delete 95% of what you take. Even hobby boards on infinite leading up to Patsy Jewsius' false flag like their version of /o/ were more active than this board is right now.

/po/ could easily slot into /ic/ as a permanent cyclical general."
v,"(REPLY) >>602040
This board is one of the few where requesting is allowed, and PDFs can be uploaded."
x,"(REPLY) >>602059
This must have been where it happened"
v,If it's not a 24 hours clock get it away from me
v,"(REPLY) >>602040
This thread deserves survival."
x,bumo
x,"(REPLY) >>566406
do it faggot"
x,"keep it alive, no matter what"
x,"(REPLY) >>602040
fuck off back to r eddit faggot"
v,"(REPLY) >>539494
This thread is 6 years old oml this board is slow, is OP still even around? Also, only now learning PDF is a supported file type on 4chan, maybe just on /po/"
x,"(REPLY) >>602697
dont let the dream die"
v,"(REPLY) >>539494
holy shit 
>may 17 of 2016
this thread is so old"
x,"(REPLY) >>539499
you're a great man, so thankful"
v,"(REPLY) >>539494
>>602697
>>602040
Why hasn't it been archived yet? Is there just no limit to how long a thread can stay alive as long as it doesn't get replaced by other threads? Does this board even have jannies?

I wonder how OP is doing. For all we know, he/she could be dead now.
I was in 7th grade when this thread was posted. Now I'm almost done my first year of university. Time flies."
x,"(REPLY) >>566406
Don't give up."
x,Bumo
v,"(REPLY) >>602990
The earlier incarnations of Futaba (and still, on 2chan) had thread pruning, but that went away a long time ago. Now threads just die when they reach bump limit and fall off the board."
v,"(REPLY) >>591864
lol i think this is my comment, it has my writing style and everything. who would have thought that i can identify my own comment just by my style lol, also, hope ur ok op"
v,"(REPLY) >>603161
impostor, you didn't even capitalize your sentence."
v,"(REPLY) >>602990
Isn't this the oldest thread on this website at this point?"
x,see you guys in 5 years
x,"(REPLY) >>603162
IMPOSTER!!??"
v,"(REPLY) >>539494
Cool project OP, I assume by now it's complete and prominently displayed in your house"
x,ARGG
v,Just wanted to leave my mark on the oldest thread on 4chan. It's been a long time since 2009 and calling people roodypoos
x,"Hello, people looking at this years from now! "
x,"
han pasado mas de seis aÃ±os 
hermanos no me siento bien"
x,"(REPLY) >>539494
>tourists shitting up ancient threads
"
x,"(REPLY) >>603540
So are the emoji fags."
x,"(REPLY) >>603540
>ancient threads
I post in older threads."
x,"posting in a legendary thread!
hello, future anons! i wonder how different the world is from your perspective? hopefully it's a lot better than what it is right now!
cheers!"
x,"(REPLY) >>603567
it got worse"
x,/twg/ was here 
v,"I wonder If emotes will stay on this thread after the April 1 event is over. It'll be neat if they did. That way this thread will be like a sedimentary rock, each layer revealing something about that particular point in the website's history. 
Also, good luck with your clock anon. "
x,Let us not forget that all things eventually fade into history; but the deeds of good men are never forgotten.
x,god when the fuck will this thread end.
x,I was here
x,"(REPLY) >>539494
What the HECK... this thread is old :DDD"
x,"(REPLY) >>603813
DJ DUBBI OFF THAT BEAT"
v,I remember when it used to be about the clocks.
v,i liek clocs :3
x,"(REPLY) >>604017
Shits got to go"
v,"(REPLY) >>539494
Cool clock anon"
x,"(REPLY) >>604050
whatevz"
x,this thread is from 2016
x,What is going on here? Discord raid?
x,gem up on /toy/
v,"(REPLY) >>540434
Yeah, you need to make the markings."
x,"(REPLY) >>604274
some underage retards raided us from some altchan."
v,"Op please finish, a clock made of paper sounds really cool"
x,"(REPLY) >>539494
Just came by to witness this ancient thread."
x,"(REPLY) >>604400
I just want to leave 1 (one) post in this glorious ancient thread. Naruto > Sasuke. Anyone here still playing Maplestory, RuneScape, Gaia Online, etc?"
x,"(REPLY) >>566406
You've got this, Anon!"
v,"its that time of year again,

since october and by association halloween is right around the corner let's post halloween themed papercraft, origami and costume ideas/tips so we can help our fellow /po/lite friends 

please no arguing this board is too slow for that shit

ill start with this wolf head i found in my folder and a question on whether i should do something like this or a helmet from skyrim"
v,"(REPLY) >>545554
ill also add this wizard and witch origami"
v,Friend of mine is looking for a wearable Anubis mask. Anyone got any decent looking ones?
v,"(REPLY) >>545786
check out this anon.

http://zerocat.blogspot.com.au/2013/03/anubis-ra-masks.html"
v,"(REPLY) >>545786
unfortunately the link is dead but hopefully this can give you some ideas. i will keep looking for other masks. also there are masks from the Stargate series but not sure if that is what you are interested in."
v,"(REPLY) >>545786
Anubis Head from Stargate

https://www.mediafire.com/?y7015ygs42id22x"
x,"(REPLY) >>545786
www.mediafire.com/file/ulczgou0qg646m9"
v,"(REPLY) >>545786
this mask is from the game Overwatch i believe.

https://www.mediafire.com/?i8b764rfi8zy8zb"
v,"tetravariations stuff is nice

baymansk[at]hmamail[dot]com"
x,"I dont want to make a thread for this so I am gonna put it here.
http://www.strawpoll.me/11366031"
v,"im trying to decide on what to make for halloween
either a helmet from skyrim or a mask of some sort i have no idea"
v,"(REPLY) >>545956
>http://lmgtfy.com/?q=skyrim+helmet+mask+papercraft"
v,"(REPLY) >>545965
>i have poor reading skills the post 

the question was WHAT to make not how to make it"
v,"(REPLY) >>546268
>either a helmet from skyrim or a mask of some sort I HAVE NO IDEA
that is why there is a link to google for skyrim popercrafts to give you an idea."
v,"(REPLY) >>545554
this isn't a mask. it's some weird wolf pauldron that connects to a paper tshirt"
v,"(REPLY) >>545554
pepe mask?
or has it been done before?"
v,"(REPLY) >>546305
ah my mistake anon i thought it was cuase i was thumbnail scrolling for an image"
x,">tfw this thread is still here 3 months later
>tfw it still has the spooky skeleton motif

SLOWEST BOARD"
x,"(REPLY) >>545554
>HALLOWEEN
BTFO"
x,>BAHAHAAAHAHAHAHAHAHAHAHA
x,"(REPLY) >>545554
kek"
x,BAHAHAHAHAHA
x,This thread is going to end up lasting until next halloween
x,"(REPLY) >>548794
Dude....RealTALK"
v,"(REPLY) >>548812
>tfw im op
>tfw thread still here

 never change /po/"
x,"(REPLY) >>549058
You
still
here?"
x,"(REPLY) >>545554
op?"
x,"(REPLY) >>545554
well?"
x,"(REPLY) >>545554
bump"
x,"(REPLY) >>549375
OP here, every so often i return to see if this thread is still here and so far i haven't been dissapointed"
v,"is /po/ the slowest board?
Also why does this board exist?"
x,what is going on here?
x,"(REPLY) >>549843
i like knowing you keep an eye on it. do you go on this board often?"
v,"(REPLY) >>549902
I've heard people claim a few other boards were slower but this is one of the slowest. We share papercraft templates, origami diagrams and crease patterns and share works we make. We're a bunch of nerds for paper and this is a good place to be one."
x,"(REPLY) >>550189
i think /i/ is slower, it often has older thread anyway.

/u/ is also pretty slow. But at this level comparison doesn't really matter, all these boards are extremelly slow."
v,"(REPLY) >>550056
i love /po/and vist it at least once a week I normally lurk in the origami diagram threads and occasionally answer questions that pop up on /po/"
x,"(REPLY) >>550191
Why are these boards kept around then? I always thought /d/ was so slow because people are wacking it. 

>>550204
I am glad you are still around. Hopefully we keep this going until next halloween."
x,"(REPLY) >>550308
they're kept becuase slow as they are people still use em i guess"
v,"(REPLY) >>550420
I wish 4chan was known for its Papercraft and origami board. That would be so perfect. 

>Internet hate machine who loves to make swans."
x,"(REPLY) >>550553
maybe someday"
x,"(REPLY) >>550694
A man can dream anon. A man can dream."
x,"(REPLY) >>550925
Anyone excited for easter?"
x,Cant let this thread die gotta last till this Halloween
x,"(REPLY) >>551707
yessss"
x,"(REPLY) >>545554
so no one else have any halloween stuff to add?"
x,"(REPLY) >>552199
we'll add more when it's near Halloween"
v,"(REPLY) >>552417
bumping with a skull mask"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
